shop_lat,shop_lon,query_date_from,query_date_to,query_radius_m,source,id,name,date,time,end_time,venue,city,address,venue_lat,venue_lon,segment,genre,sub_genre,distance_km,distance_m,sales_status,sales_end,price_min,price_max,price_currency,url,recurrent_event,recurrence_type,venue_type,estimated_capacity,capacity_range_min,capacity_range_max,capacity_confidence
48.8584,2.2945,2026-04-13,2026-05-13,2000,OpenAgenda,70043797,CONCERT KIOSQUE RANELAGH,2026-04-19,15:00,17:00,KIOSQUE JARDIN DU RANELAGH,PARIS,"1 Avenue Prudhon  , 75016 PARIS",48.858963,2.269067,Miscellaneous,,,1.86,1860,onsale,,,,EUR,https://openagenda.com/agendas/30166879/events/concert-au-kiosque-3684069,False,none,concert hall,350,200,500,low
48.8584,2.2945,2026-04-13,2026-05-13,2000,OpenAgenda,92912071,"Théâtre : Nous l'avons rencontré, l'évangile de saint Jean comme vous ne l'avez jamais vu",2026-04-14,20:00,22:00,Crypte de Saint-Pierre du Gros-Caillou,Paris,"11 rue Pierre Villey, 75007 Paris",48.859881,2.304593,Miscellaneous,,,0.76,760,onsale,,,,EUR,https://openagenda.com/agendas/1541402/events/theatre-nous-lavons-rencontre-levangile-de-saint-jean-comme-vous-ne-lavez-jamais-vu,False,none,theater,350,200,500,medium
48.8584,2.2945,2026-04-13,2026-05-13,2000,OpenAgenda,46797902,DIEU AGIT,2026-04-15,19:00,20:30,Église Saint-Pierre de Chaillot,Paris,"31 avenue Marceau, 75116 Paris",48.865263,2.299851,Miscellaneous,,,0.86,860,onsale,,,,EUR,https://openagenda.com/agendas/87990960/events/dieu-agit-590607,False,none,church,750,500,1000,low
48.8584,2.2945,2026-04-13,2026-05-13,2000,OpenAgenda,93161780,Le grand dîner avenue de Saxe,2026-05-12,19:30,21:30,Église Saint-François-Xavier,Paris,"12 place du Président Mithouard, 75007 Paris",48.850558,2.312924,Miscellaneous,,,1.61,1610,onsale,,,,EUR,https://openagenda.com/agendas/17197180/events/grand-diner-du-quartier,False,none,church,350,200,500,low
48.8584,2.2945,2026-04-13,2026-05-13,2000,OpenAgenda,44188524,THE COST OF GROWTH,2026-04-14,20:30,23:30,Cinéma Chaplin Saint Lambert,Paris,"6 Rue Péclet, Paris",48.843205,2.298558,Cinéma Chaplin Saint Lambert,"Cinéma Chaplin Saint Lambert, THE COST OF GROWTH",,1.72,1720,onsale,,,,EUR,https://openagenda.com/agendas/41240026/events/the-cost-of-growth,False,none,cinema,350,200,500,low
48.8584,2.2945,2026-04-13,2026-05-13,2000,OpenAgenda,95251032,TO BE OR NOT TO BE,2026-04-16,00:00,03:00,Cinéma Chaplin Saint Lambert,Paris,"6 Rue Péclet, Paris",48.843205,2.298558,Cinéma Chaplin Saint Lambert,"Cinéma Chaplin Saint Lambert, TO BE OR NOT TO BE",,1.72,1720,onsale,,,,EUR,https://openagenda.com/agendas/41240026/events/to-be-or-not-to-be-7042480,False,none,cinema,350,200,500,low
48.8584,2.2945,2026-04-13,2026-05-13,2000,OpenAgenda,43921492,Visite guidée : les secrets de l'UNESCO,2026-04-25,09:10,11:10,UNESCO,Paris,"7 Place de Fontenoy-Unesco, 75007 Paris",48.849552,2.306237,Miscellaneous,,,1.31,1310,onsale,,,,EUR,https://openagenda.com/agendas/80515007/events/visite-guidee-les-secrets-de-lunesco,False,none,conference center,300,100,500,medium
48.8584,2.2935,2026-04-13,2026-05-13,2000,OpenAgenda,70043797,CONCERT KIOSQUE RANELAGH,2026-04-19,15:00,17:00,KIOSQUE JARDIN DU RANELAGH,PARIS,"1 Avenue Prudhon  , 75016 PARIS",48.858963,2.269067,Miscellaneous,,,1.79,1790,onsale,,,,EUR,https://openagenda.com/agendas/30166879/events/concert-au-kiosque-3684069,False,none,concert hall,1200,500,1500,medium
48.8584,2.2935,2026-04-13,2026-05-13,2000,OpenAgenda,92912071,"Théâtre : Nous l'avons rencontré, l'évangile de saint Jean comme vous ne l'avez jamais vu",2026-04-14,20:00,22:00,Crypte de Saint-Pierre du Gros-Caillou,Paris,"11 rue Pierre Villey, 75007 Paris",48.859881,2.304593,Miscellaneous,,,0.83,830,onsale,,,,EUR,https://openagenda.com/agendas/1541402/events/theatre-nous-lavons-rencontre-levangile-de-saint-jean-comme-vous-ne-lavez-jamais-vu,False,none,theatre,350,200,500,medium
48.8584,2.2935,2026-04-13,2026-05-13,2000,OpenAgenda,46797902,DIEU AGIT,2026-04-15,19:00,20:30,Église Saint-Pierre de Chaillot,Paris,"31 avenue Marceau, 75116 Paris",48.865263,2.299851,Miscellaneous,,,0.89,890,onsale,,,,EUR,https://openagenda.com/agendas/87990960/events/dieu-agit-590607,False,none,church,1200,500,1500,low
48.8584,2.2935,2026-04-13,2026-05-13,2000,OpenAgenda,93161780,Le grand dîner avenue de Saxe,2026-05-12,19:30,21:30,Église Saint-François-Xavier,Paris,"12 place du Président Mithouard, 75007 Paris",48.850558,2.312924,Miscellaneous,,,1.67,1670,onsale,,,,EUR,https://openagenda.com/agendas/17197180/events/grand-diner-du-quartier,False,none,church,350,200,500,low
48.8584,2.2935,2026-04-13,2026-05-13,2000,OpenAgenda,91162699,Géopolitique de l’Eurovision !,2026-04-27,18:30,20:00,Maison de l'Europe de Paris,Paris,"77 Avenue de Versailles, 75016 Paris",48.846348,2.273206,Eurovision,"Eurovision, Géopolitique, Culture",,2.0,2000,onsale,,,,EUR,https://openagenda.com/agendas/3541840/events/geopolitique-de-leurovision,False,none,conference center,2000,1000,3000,medium
48.8584,2.2935,2026-04-13,2026-05-13,2000,OpenAgenda,44188524,THE COST OF GROWTH,2026-04-14,20:30,23:30,Cinéma Chaplin Saint Lambert,Paris,"6 Rue Péclet, Paris",48.843205,2.298558,Cinéma Chaplin Saint Lambert,"Cinéma Chaplin Saint Lambert, THE COST OF GROWTH",,1.73,1730,onsale,,,,EUR,https://openagenda.com/agendas/41240026/events/the-cost-of-growth,False,none,cinema,350,200,500,low
48.8584,2.2935,2026-04-13,2026-05-13,2000,OpenAgenda,95251032,TO BE OR NOT TO BE,2026-04-16,00:00,03:00,Cinéma Chaplin Saint Lambert,Paris,"6 Rue Péclet, Paris",48.843205,2.298558,Cinéma Chaplin Saint Lambert,"Cinéma Chaplin Saint Lambert, TO BE OR NOT TO BE",,1.73,1730,onsale,,,,EUR,https://openagenda.com/agendas/41240026/events/to-be-or-not-to-be-7042480,False,none,cinema,350,200,500,low
48.8584,2.2935,2026-04-13,2026-05-13,2000,OpenAgenda,43921492,Visite guidée : les secrets de l'UNESCO,2026-04-25,09:10,11:10,UNESCO,Paris,"7 Place de Fontenoy-Unesco, 75007 Paris",48.849552,2.306237,Miscellaneous,,,1.36,1360,onsale,,,,EUR,https://openagenda.com/agendas/80515007/events/visite-guidee-les-secrets-de-lunesco,False,none,conference center,300,100,500,medium
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,70043797,CONCERT KIOSQUE RANELAGH,2026-04-19,15:00,17:00,KIOSQUE JARDIN DU RANELAGH,PARIS,"1 Avenue Prudhon  , 75016 PARIS",48.858963,2.269067,Miscellaneous,,,1.64,1640,onsale,,,,EUR,https://openagenda.com/agendas/30166879/events/concert-au-kiosque-3684069,False,none,concert hall,750,500,1000,medium
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,92912071,"Théâtre : Nous l'avons rencontré, l'évangile de saint Jean comme vous ne l'avez jamais vu",2026-04-14,20:00,22:00,Crypte de Saint-Pierre du Gros-Caillou,Paris,"11 rue Pierre Villey, 75007 Paris",48.859881,2.304593,Miscellaneous,,,0.97,970,onsale,,,,EUR,https://openagenda.com/agendas/1541402/events/theatre-nous-lavons-rencontre-levangile-de-saint-jean-comme-vous-ne-lavez-jamais-vu,False,none,theater,350,200,500,medium
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,6041708,Veillée d'Adoration à la Bougie 14 avril 2026 Chapelle Notre Dame de Grâce de Grenelle 75015,2026-04-14,21:00,22:00,Chapelle Notre Dame de Grâce,Paris,4 rue fondary 75015,48.848761,2.291295,Miscellaneous,,,1.07,1070,onsale,,,,EUR,https://openagenda.com/agendas/28973407/events/veillee-dadoration-a-la-bougie-14-avril-2026-chapelle-notre-dame-de-grace-de-grenelle-75015,False,none,chapel,125,50,200,low
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,46797902,DIEU AGIT,2026-04-15,19:00,20:30,Église Saint-Pierre de Chaillot,Paris,"31 avenue Marceau, 75116 Paris",48.865263,2.299851,Miscellaneous,,,0.98,980,onsale,,,,EUR,https://openagenda.com/agendas/87990960/events/dieu-agit-590607,False,none,church,750,500,1000,low
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,95191956,Rencontre Jeunes Pros et Pros mercredi 6 avril 2026 Chapelle Notre Dame de Grâce de Grenelle 75015,2026-05-06,20:00,21:30,Chapelle Notre Dame de Grâce,Paris,4 rue fondary 75015,48.848761,2.291295,Miscellaneous,,,1.07,1070,onsale,,,,EUR,https://openagenda.com/agendas/28973407/events/rencontre-jeunes-pros-et-pros-mercredi-6-avril-2026-chapelle-notre-dame-de-grace-de-grenelle-75015,False,none,chapel,125,50,200,low
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,96892209,Pèlerinage des Femmes 08 mai 2026 : Chapitre Chapelle Notre Dame de Grâce de Grenelle 75015,2026-05-08,09:30,19:00,Chapelle Notre Dame de Grâce,Paris,4 rue fondary 75015,48.848761,2.291295,Miscellaneous,,,1.07,1070,onsale,,,,EUR,https://openagenda.com/agendas/28973407/events/pelerinage-des-femmes-08-mai-2026-chapitre-chapelle-notre-dame-de-grace-de-grenelle-75015,False,none,chapel,125,50,200,low
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,93161780,Le grand dîner avenue de Saxe,2026-05-12,19:30,21:30,Église Saint-François-Xavier,Paris,"12 place du Président Mithouard, 75007 Paris",48.850558,2.312924,Miscellaneous,,,1.79,1790,onsale,,,,EUR,https://openagenda.com/agendas/17197180/events/grand-diner-du-quartier,False,none,church,750,500,1000,low
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,44188524,THE COST OF GROWTH,2026-04-14,20:30,23:30,Cinéma Chaplin Saint Lambert,Paris,"6 Rue Péclet, Paris",48.843205,2.298558,Cinéma Chaplin Saint Lambert,"Cinéma Chaplin Saint Lambert, THE COST OF GROWTH",,1.77,1770,onsale,,,,EUR,https://openagenda.com/agendas/41240026/events/the-cost-of-growth,False,none,cinema,350,200,500,low
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,95251032,TO BE OR NOT TO BE,2026-04-16,00:00,03:00,Cinéma Chaplin Saint Lambert,Paris,"6 Rue Péclet, Paris",48.843205,2.298558,Cinéma Chaplin Saint Lambert,"Cinéma Chaplin Saint Lambert, TO BE OR NOT TO BE",,1.77,1770,onsale,,,,EUR,https://openagenda.com/agendas/41240026/events/to-be-or-not-to-be-7042480,False,none,cinema,350,200,500,low
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,43921492,Visite guidée : les secrets de l'UNESCO,2026-04-25,09:10,11:10,UNESCO,Paris,"7 Place de Fontenoy-Unesco, 75007 Paris",48.849552,2.306237,Miscellaneous,,,1.46,1460,onsale,,,,EUR,https://openagenda.com/agendas/80515007/events/visite-guidee-les-secrets-de-lunesco,False,none,conference center,300,100,500,medium
48.8584,2.2915,2026-04-13,2026-05-13,2000,OpenAgenda,91162699,Géopolitique de l’Eurovision !,2026-04-27,18:30,20:00,Maison de l'Europe de Paris,Paris,"77 Avenue de Versailles, 75016 Paris",48.846348,2.273206,Eurovision,"Eurovision, Géopolitique, Culture",,1.89,1890,onsale,,,,EUR,https://openagenda.com/agendas/3541840/events/geopolitique-de-leurovision,False,none,conference center,1200,500,2000,medium
